ACTIVITY,SPECIFIC MOTION,METs
bicycling,Bicycling:  <10 mph; leisure; to work or for pleasure,4
bicycling,Bicycling:  10-11.9 mph; leisure; slow; light effort,6.8
bicycling,Bicycling:  12 mph; seated; hands on brake hoods or bar drops; 80 rpm,8.5
bicycling,Bicycling:  12 mph; standing; hands on brake hoods; 60 rpm,9
bicycling,Bicycling:  12-13.9 mph; leisure; moderate effort,8
bicycling,Bicycling:  14-15.9 mph; racing or leisure; fast; vigorous effort,10
bicycling,Bicycling:  16-19 mph; racing/not drafting or > 19 mph drafting; very fast; racing general,12
bicycling,Bicycling:  > 20 mph; racing; not drafting,15.8
bicycling,Bicycling:  BMX,8.5
bicycling,Bicycling:  general,7.5
bicycling,Bicycling:  leisure; 5.5 mph,3.5
bicycling,Bicycling:  leisure; 9.4 mph,5.8
bicycling,Bicycling:  mountain; competitive; racing,16
bicycling,Bicycling:  mountain; general,8.5
bicycling,Bicycling:  mountain; uphill; vigorous,14
bicycling,Bicycling:  on dirt or farm road; moderate pace,5.8
conditioning exercise,Bicycling:  stationary; 101-160 watts; vigorous effort,8.8
conditioning exercise,Bicycling:  stationary; 161-200 watts; vigorous effort,11
conditioning exercise,Bicycling:  stationary; 201-270 watts; very vigorous effort,14
conditioning exercise,Bicycling:  stationary; 30-50 watts; very light to light effort,3.5
conditioning exercise,Bicycling:  stationary; 51-89 watts; light-to-moderate effort,4.8
conditioning exercise,Bicycling:  stationary; 90-100 watts; moderate to vigorous effort,6.8
conditioning exercise,Bicycling:  stationary; general,7
conditioning exercise,Bicycling:  stationary; RPM/Spin bike class,8.5
bicycling,Bicycling:  to/from work; self selected pace,6.8
bicycling,Bicycling:  unicycling,5
conditioning exercise,Calisthenics:  (e.g.; push ups; sit ups; pull-ups; jumping jacks); vigorous effort,8
conditioning exercise,Calisthenics:  (e.g.; push ups; sit ups; pull-ups; lunges); moderate effort,3.8
conditioning exercise,Calisthenics:  (e.g.; situps; abdominal crunches); light effort,2.8
conditioning exercise,Calisthenics:  light or moderate effort; general (e.g.; back exercises); going up & down from floor ( 150),3.5
conditioning exercise,Conditioning:  Activity promoting video game (e.g.; Wii Fit); light effort (e.g.; balance; yoga),2.3
conditioning exercise,Conditioning:  Activity promoting video game (e.g.; Wii Fit); moderate effort (e.g.; aerobic; resistance),3.8
conditioning exercise,Conditioning:  Activity promoting video/arcade game (e.g.; Exergaming; Dance Dance Revolution); vigorous effort,7.2
conditioning exercise,Conditioning:  Army type obstacle course exercise; boot camp training program,5
conditioning exercise,Conditioning:  Circuit training; including kettlebells; some aerobic movement with minimal rest; general; vigorous intensity,8
conditioning exercise,Conditioning:  Circuit training; moderate effort,4.3
conditioning exercise,Conditioning:  CurvesTM exercise routines in women,3.5
conditioning exercise,Conditioning:  Elliptical trainer; moderate effort,5
conditioning exercise,Conditioning:  health club exercise classes; general; gym/weight training combined in one visit,5
conditioning exercise,Conditioning:  health club exercise; conditioning classes,7.8
conditioning exercise,Conditioning:  health club exercise; general,5.5
conditioning exercise,Conditioning:  home exercise; general,3.8
conditioning exercise,Conditioning:  native New Zealander physical activities (e.g.; Haka Powhiri; Moteatea; Waita Tira; Whakawatea; etc.); general; moderate effort,5.3
conditioning exercise,Conditioning:  native New Zealander physical activities (e.g.; Haka; Taiahab); general; vigorous effort,6.8
conditioning exercise,Conditioning:  Pilates; general,3
conditioning exercise,Conditioning:  Resistance (weight) training; multiple exercises; 8-15 repetitions at varied resistance,3.5
conditioning exercise,Conditioning:  Resistance (weight) training; squats ; slow or explosive effort,5
conditioning exercise,Conditioning:  Resistance training (weight lifting; free weight; nautilus or universal); power lifting or body building; vigorous effort,6
conditioning exercise,Conditioning:  rope skipping; general,12.3
conditioning exercise,Conditioning:  rowing; stationary ergometer; general; vigorous effort,6
conditioning exercise,Conditioning:  rowing; stationary; 100 watts; moderate effort,7
conditioning exercise,Conditioning:  rowing; stationary; 150 watts; vigorous effort,8.5
conditioning exercise,Conditioning:  rowing; stationary; 200 watts; very vigorous effort,12
conditioning exercise,Conditioning:  rowing; stationary; general; moderate effort,4.8
conditioning exercise,Conditioning:  ski machine; general,6.8
conditioning exercise,Conditioning:  slide board exercise; general,11
conditioning exercise,Conditioning:  slimnastics; jazzercise,6
conditioning exercise,Conditioning:  stair-treadmill ergometer; general,9
conditioning exercise,Conditioning:  stretching; mild,2.3
conditioning exercise,Conditioning:  teaching exercise class (e.g.; aerobic; water),6.8
conditioning exercise,Conditioning:  therapeutic exercise ball; Fitball exercise,2.8
conditioning exercise,Conditioning:  upper body exercise; arm ergometer,2.8
conditioning exercise,Conditioning:  upper body exercise; stationary bicycle – Airdyne (arms only) 40 rpm; moderate,4.3
conditioning exercise,Conditioning:  video exercise workouts; TV conditioning programs (e.g.; cardio-resistance); moderate effort,4
conditioning exercise,Conditioning:  video exercise workouts; TV conditioning programs (e.g.; cardio-resistance); vigorous effort,6
conditioning exercise,Conditioning:  video exercise workouts; TV conditioning programs (e.g.; yoga; stretching); light effort,2.3
running,Running:  4 mph (13 min/mile),6
running,Running:  5 mph (12 min/mile),8.3
running,Running:  5.2 mph (11.5 min/mile),9
running,Running:  6 mph (10 min/mile),9.8
running,Running:  6.7 mph (9 min/mile),10.5
running,Running:  7 mph (8.5 min/mile),11
running,Running:  7.5 mph (8 min/mile),11.5
running,Running:  8 mph (7.5 min/mile),11.8
running,Running:  8.6 mph (7 min/mile),12.3
running,Running:  9 mph (6.5 min/mile),12.8
running,Running:  10 mph (6 min/mile),14.5
running,Running:  11 mph (5.5 min/mile),16
running,Running:  12 mph (5 min/mile),19
running,Running:  13 mph (4.6 min/mile),19.8
running,Running:  14 mph (4.3 min/mile),23
running,Running:  cross country,9
running,Running:  jog/walk combination (jogging component of less than 10 minutes),6
running,Running:  jogging; general,7
running,Running:  jogging; in place,8
running,Running:  jogging; on a mini-tramp,4.5
running,Running:  marathon,13.3
running,Running:  on a track; team practice,10
running,Running:  stairs; up,15
running,Running:  training; pushing a wheelchair or baby carrier,8
sports,Sports:  Alaska Native Games; Eskimo Olympics; general,5.5
sports,Sports:  archery; non-hunting,4.3
sports,Sports:  auto racing; open wheel,8.5
sports,Sports:  badminton; competitive,7
sports,Sports:  badminton; social singles and doubles; general,5.5
sports,Sports:  basketball; drills; practice,9.3
sports,Sports:  basketball; game,8
sports,Sports:  basketball; general,6.5
sports,Sports:  basketball; non-game; general,6
sports,Sports:  basketball; officiating,7
sports,Sports:  basketball; shooting baskets,4.5
sports,Sports:  basketball; wheelchair,7.8
sports,Sports:  billiards,2.5
sports,Sports:  bowling,3
sports,Sports:  bowling; indoor; bowling alley,3.8
sports,Sports:  boxing; in ring; general,12.8
sports,Sports:  boxing; punching bag,5.5
sports,Sports:  boxing; sparring,7.8
sports,Sports:  broomball,7
sports,Sports:  cheerleading; gymnastic moves; competitive,6
sports,Sports:  children’s games; adults playing (e.g.; hopscotch; 4-square; dodgeball; playground apparatus; t-ball; tetherball; marbles; arcade games); moderate effort,5.8
sports,Sports:  coaching; actively playing sport with players,8
sports,Sports:  coaching; football; soccer; basketball; baseball; swimming; etc.,4
sports,Sports:  cricket; batting; bowling; fielding,4.8
sports,Sports:  croquet,3.3
sports,Sports:  curling,4
sports,Sports:  darts; wall or lawn,2.5
sports,Sports:  drag racing; pushing or driving a car,6
sports,Sports:  fencing,6
sports,Sports:  football or baseball; playing catch,2.5
sports,Sports:  football; competitive,8
sports,Sports:  football; touch; flag; general,8
sports,Sports:  football; touch; flag; light effort,4
sports,Sports:  frisbee playing; general,3
sports,Sports:  frisbee; ultimate,8
sports,Sports:  golf; general,4.8
sports,Sports:  golf; miniature; driving range,3
sports,Sports:  golf; using power cart,3.5
sports,Sports:  golf; walking; carrying clubs,4.3
sports,Sports:  golf; walking; pulling clubs,5.3
sports,Sports:  gymnastics; general,3.8
sports,Sports:  hacky sack,4
sports,Sports:  handball; general,12
sports,Sports:  handball; team,8
sports,Sports:  hang gliding,3.5
sports,Sports:  high ropes course; multiple elements,4
sports,Sports:  hockey; field,7.8
sports,Sports:  hockey; ice; competitive,10
sports,Sports:  hockey; ice; general,8
sports,Sports:  horse cart; driving; standing or sitting,1.8
